Player,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,salaries
DeMar DeRozan,94,88,71,82,85,85,82,86,57,88,98,85,91,93,55,90,40,78,86,70,94,75,81,82,79,72,50,77,43,40,81,74,82,65,35,65,"$27,739,975.00 "
DeMarcus Cousins,84,69,68,74,80,75,63,62,94,71,98,70,72,84,95,82,95,94,88,83,95,60,72,60,84,70,70,48,76,83,49,70,68,45,55,88,"$3,500,000.00 "
Dennis Schroder,89,87,82,81,78,98,84,88,46,74,93,90,80,80,25,45,25,38,27,71,85,88,88,84,89,70,34,73,37,42,74,72,67,60,31,55,#N/A
Derrick Rose,93,84,74,88,98,98,86,86,50,89,90,95,69,94,25,35,55,55,55,65,85,87,88,86,88,88,50,67,43,47,73,66,64,40,36,46,"$7,317,074.00 "
Devin Booker,90,85,82,91,95,98,76,79,42,70,95,70,81,87,30,50,28,38,30,86,85,79,86,76,83,74,38,70,37,40,74,60,62,60,32,53,"$27,285,000.00 "
Domantas Sabonis,82,91,64,73,90,95,48,44,82,54,85,95,86,79,70,50,80,76,85,78,85,38,39,26,51,70,61,29,38,52,38,65,39,30,77,92,"$3,529,554.00 "
Donovan Mitchell,86,97,80,84,95,95,96,90,60,97,89,90,80,90,50,95,25,44,38,82,80,75,86,83,82,70,48,79,70,37,87,79,80,75,36,52,"$3,635,760.00 "
Dwight Howard,77,69,60,49,80,40,70,54,92,80,80,75,82,77,90,85,74,53,79,80,85,33,40,25,57,29,81,55,37,88,52,80,77,80,91,89,#N/A
Eric Bledsoe,71,80,78,83,80,70,85,86,55,88,95,80,81,88,25,71,25,40,28,50,88,83,86,85,84,74,59,91,46,56,91,90,82,90,38,60,"$15,625,000.00 "
Evan Fournier,88,88,84,81,88,95,71,70,40,63,95,80,86,80,25,55,30,45,36,66,85,75,76,65,76,65,38,69,46,37,69,70,72,65,28,46,"$17,150,000.00 "
Fred VanVleet,65,69,83,84,93,95,83,83,42,70,95,85,82,84,25,35,30,32,28,54,85,87,86,83,90,74,27,83,80,45,84,79,80,80,31,49,"$9,346,153.00 "
Giannis Antetokounmpo,91,82,74,62,98,98,90,87,70,85,98,95,91,98,85,95,80,74,84,97,95,81,86,86,90,78,86,92,46,70,93,89,88,90,84,94,"$25,842,697.00 "
Goran Dragic,82,79,83,72,92,90,76,78,44,72,92,85,84,90,25,45,25,60,39,75,76,80,86,76,92,74,32,73,38,40,73,74,70,70,34,48,"$19,217,900.00 "
Gordon Hayward,94,83,83,88,95,85,80,77,63,75,80,86,78,87,40,75,40,65,58,40,91,75,77,77,79,68,56,73,38,51,76,73,58,65,42,69,"$32,700,690.00 "
Hassan Whiteside,96,75,39,77,84,70,66,57,86,60,75,70,66,70,85,71,75,54,78,65,85,60,35,30,50,31,82,53,32,96,48,81,60,75,88,96,"$27,093,018.00 "
J.J. Redick,56,87,90,90,96,95,61,65,27,63,88,80,81,74,25,25,25,50,25,70,80,70,70,49,70,41,35,68,32,37,65,63,62,45,28,49,#N/A
Ja Morant,88,77,82,80,75,95,92,92,42,88,95,80,80,87,25,88,34,37,37,69,85,86,89,92,88,80,39,73,46,45,84,70,68,50,36,50,"$8,730,240.00 "
Jamal Murray,91,80,80,92,98,98,77,79,54,80,95,85,78,82,30,40,38,46,34,70,84,83,88,77,84,71,35,70,59,45,78,69,58,45,37,52,"$4,444,746.00 "
James Harden,87,90,84,86,98,99,89,89,74,87,98,97,95,98,35,84,60,84,76,98,98,82,97,89,98,79,62,70,59,62,75,63,82,65,40,64,"$38,199,000.00 "
Jaren Jackson Jr.,79,80,83,76,97,75,63,65,72,75,92,80,94,79,85,80,70,62,70,75,80,37,35,33,50,34,83,71,38,85,76,84,71,80,44,61,#N/A
Jarrett Allen,76,54,39,65,98,85,75,72,84,79,86,80,82,74,85,75,66,60,74,78,85,25,35,35,48,34,82,41,38,82,53,83,67,80,81,85,"$2,376,840.00 "
Jaylen Brown,87,91,82,77,95,95,77,81,69,84,95,95,82,86,40,85,42,44,48,79,92,75,82,76,82,40,58,87,46,42,88,84,83,85,41,67,"$6,534,829.00 "
Jayson Tatum,80,84,85,85,97,98,79,82,65,82,95,75,80,88,50,90,50,68,57,89,95,69,84,79,78,55,50,83,59,63,83,83,79,80,41,71,"$7,830,000.00 "
Jimmy Butler,86,66,72,82,78,85,84,78,65,78,95,80,81,85,40,80,49,72,72,60,93,75,84,82,88,74,70,91,85,56,90,89,88,90,56,65,"$32,742,000.00 "
Joel Embiid,93,72,78,80,95,95,67,63,95,68,94,90,76,80,90,80,92,88,94,85,95,40,50,61,58,65,91,60,41,77,64,93,64,90,69,95,"$27,504,630.00 "
John Collins,87,88,83,81,98,95,71,65,66,85,92,96,84,82,95,93,77,75,69,72,85,37,57,50,66,33,74,49,36,81,57,74,38,60,70,87,"$2,686,560.00 "
John Wall,70,78,72,70,96,95,92,90,60,88,95,95,82,93,25,85,35,57,42,79,90,85,90,92,96,86,38,85,63,62,87,82,92,85,32,50,"$38,199,000.00 "
Jonas Valanciunas,64,84,81,75,94,90,62,46,89,54,90,90,81,59,80,65,83,64,83,75,95,36,35,33,65,42,75,43,35,78,48,83,54,60,77,92,"$16,000,000.00 "
Jonathan Isaac,61,83,76,77,50,30,73,76,60,80,85,90,80,67,60,65,62,68,62,50,68,65,72,66,55,33,80,84,83,95,79,88,75,85,56,72,"$5,806,440.00 "
Jrue Holiday,78,60,78,71,60,65,79,83,49,68,90,86,80,80,25,40,30,72,40,44,81,75,86,79,74,74,34,94,70,61,96,90,87,90,43,51,"$26,131,111.00 "
Julius Randle,86,75,66,70,85,85,73,76,87,69,85,85,84,88,85,85,79,60,79,74,95,55,72,68,74,64,67,53,40,47,67,69,52,60,60,85,"$18,000,000.00 "
Jusuf Nurkic,84,80,35,77,94,90,51,37,90,50,85,75,72,74,75,40,84,78,88,86,80,27,40,25,79,66,79,45,49,81,49,79,60,70,92,88,"$12,000,000.00 "
Karl-Anthony Towns,89,78,85,80,98,98,76,76,87,70,98,95,82,85,95,75,86,84,91,88,98,60,65,66,79,71,74,50,41,68,61,79,60,65,74,87,"$27,285,000.00 "
Kawhi Leonard,92,80,81,89,96,98,85,81,75,79,94,85,82,90,55,86,50,88,85,80,98,79,86,83,78,74,79,97,87,58,97,97,97,98,41,76,"$32,742,000.00 "
Kelly Oubre Jr.,80,92,78,79,80,90,72,82,58,95,85,75,84,78,40,75,35,42,33,69,80,70,78,69,80,33,49,74,49,57,76,70,75,50,43,69,#N/A
Kemba Walker,60,91,82,87,95,98,85,90,50,81,93,90,86,89,25,30,28,60,35,80,88,89,96,85,92,72,32,75,43,56,77,72,77,60,36,52,"$32,742,000.00 "
Kevin Durant,98,98,86,89,97,98,80,80,63,77,94,75,88,94,60,85,70,88,80,70,91,75,86,80,78,73,68,86,37,66,87,85,75,85,32,69,"$37,199,000.00 "
Kevin Love,85,97,82,85,90,80,66,38,85,70,88,96,77,72,75,55,87,85,85,73,90,65,52,33,77,60,69,50,36,47,54,75,57,50,60,93,"$28,942,830.00 "
Khris Middleton,93,96,87,91,97,90,71,72,50,66,88,84,90,84,40,55,49,64,55,65,84,78,74,71,70,71,67,83,43,35,83,78,80,75,38,67,"$30,603,448.00 "
Klay Thompson,88,88,95,82,93,90,71,74,62,67,91,85,94,86,35,65,35,78,74,61,90,77,76,71,80,41,64,90,43,55,93,90,88,95,33,50,"$32,742,000.00 "
Kristaps Porzingis,78,78,80,78,92,95,66,65,73,78,94,85,77,78,90,75,85,85,88,87,89,50,65,56,40,33,74,56,40,88,62,87,60,60,69,89,"$27,285,000.00 "
Kyle Lowry,68,77,79,86,98,95,84,84,67,72,96,97,79,88,25,25,38,44,40,74,95,89,86,84,89,79,58,86,46,51,84,86,70,80,34,53,"$33,296,296.00 "
Kyrie Irving,91,92,83,94,90,98,85,91,37,81,97,87,80,96,25,30,35,70,64,89,96,88,99,85,89,83,32,73,56,51,77,75,86,70,42,56,"$31,742,000.00 "
LaMarcus Aldridge,94,87,83,82,95,85,43,46,87,62,95,80,80,78,70,69,92,92,90,70,92,55,42,38,70,43,74,48,36,81,52,83,70,65,57,70,"$26,000,000.00 "
Lauri Markkanen,69,66,78,83,85,85,63,60,61,62,85,58,80,68,70,40,73,77,74,78,85,55,65,42,70,34,66,49,41,55,55,68,54,45,46,75,"$5,300,400.00 "
LeBron James,90,80,78,69,98,98,89,87,89,89,99,95,97,98,75,85,78,90,89,95,98,90,86,88,98,97,81,87,53,51,88,90,97,50,41,78,"$37,436,858.00 "
Lou Williams,78,79,79,86,90,90,80,80,31,72,85,64,77,89,25,45,25,60,30,80,88,78,88,80,82,75,25,60,37,37,74,60,48,45,32,47,#N/A
Luka Doncic,95,84,84,85,98,98,83,83,70,72,98,98,85,96,55,75,64,69,69,96,98,94,86,83,94,95,48,73,69,35,75,69,69,65,70,86,"$7,683,360.00 "
Malcolm Brogdon,65,93,75,93,98,90,77,77,56,72,93,95,84,76,40,75,44,45,40,88,84,89,86,77,92,79,65,77,38,40,81,77,74,65,39,61,"$20,000,000.00 "
Marcus Smart,77,73,79,79,47,30,75,82,70,86,90,90,83,65,25,50,25,58,66,37,80,70,79,74,65,70,59,90,73,55,92,90,85,90,37,49,"$12,553,571.00 "
Marvin Bagley III,75,80,68,80,95,90,73,74,78,86,95,80,87,80,85,85,84,78,82,70,85,47,62,64,60,30,70,49,36,78,57,70,65,55,78,84,#N/A
Michael Porter Jr.,71,79,87,83,75,70,80,81,68,88,80,80,66,84,60,75,50,62,68,65,80,65,78,77,62,35,60,64,43,68,73,60,68,40,66,84,#N/A
Mitchell Robinson,72,68,32,62,98,80,48,25,65,83,85,95,80,82,90,80,65,52,50,58,80,44,40,25,54,28,84,49,56,94,65,87,65,85,84,79,"$1,559,712.00 "
Montrezl Harrell,86,80,40,66,98,98,62,57,94,75,90,98,83,88,95,85,79,76,81,95,82,35,35,32,55,41,80,47,37,73,52,84,64,75,69,64,"$6,000,000.00 "
Nikola Jokic,98,84,79,82,95,98,63,62,91,63,97,85,83,77,85,70,94,94,95,97,95,80,65,60,96,79,72,51,49,58,37,79,73,60,79,89,"$27,504,630.00 "
Nikola Vucevic,88,72,78,78,98,98,62,46,87,45,95,92,77,78,85,55,88,82,93,86,98,54,35,32,82,70,71,41,41,66,49,74,57,50,76,90,"$28,000,000.00 "
Pascal Siakam,79,84,82,81,98,98,76,78,70,79,95,95,82,88,90,80,79,74,82,84,84,40,69,69,45,64,86,79,42,65,78,88,82,90,42,72,"$2,351,838.00 "
Paul George,72,76,83,91,90,90,79,79,65,88,95,80,93,93,55,85,40,74,78,80,90,78,86,79,75,70,79,93,63,55,93,94,92,90,33,74,"$33,005,556.00 "
Paul Millsap,66,82,85,89,90,75,59,45,87,66,95,89,91,79,70,73,88,84,87,60,95,61,64,59,74,35,82,78,49,65,77,80,80,80,66,68,"$30,350,000.00 "
Richaun Holmes,83,82,45,82,97,90,57,55,65,81,80,95,82,78,85,80,72,57,69,69,85,42,58,38,54,30,75,40,53,82,56,68,55,50,80,82,"$4,767,000.00 "
Ricky Rubio,78,76,78,83,88,80,75,79,27,60,88,73,80,74,25,25,25,40,26,68,86,84,86,75,88,85,32,78,59,37,83,76,70,70,37,58,"$16,200,000.00 "
Rudy Gobert,79,63,25,61,98,70,48,25,82,57,90,85,81,79,95,75,70,58,70,70,85,25,35,25,58,32,96,64,37,83,65,97,74,95,81,94,"$25,258,427.00 "
Russell Westbrook,79,78,60,78,75,98,96,96,75,92,98,95,92,96,30,90,45,76,73,85,95,78,91,96,90,81,42,83,63,45,87,80,79,80,48,71,"$38,506,482.00 "
Serge Ibaka,95,82,83,74,97,85,49,52,75,83,91,75,94,71,80,80,60,57,70,50,81,29,35,33,72,36,80,56,36,68,57,80,71,75,65,82,"$23,271,604.00 "
Shai Gilgeous-Alexander,85,84,78,81,95,95,82,82,60,83,89,75,80,84,40,65,50,73,72,69,80,83,86,82,80,55,51,74,46,56,82,70,76,65,36,66,"$3,952,920.00 "
Spencer Dinwiddie,69,64,74,80,98,98,79,79,30,75,95,56,77,82,35,45,40,48,42,94,85,88,88,79,90,88,42,74,37,47,78,68,59,70,34,48,"$10,605,600.00 "
Stephen Curry,91,91,99,92,98,98,84,91,48,73,98,98,86,97,25,36,35,52,35,89,97,93,97,84,97,88,30,75,63,55,81,78,85,65,44,63,"$40,231,758.00 "
Steven Adams,82,68,26,56,85,70,48,37,81,68,93,97,82,74,85,70,63,62,72,65,79,42,35,33,68,57,90,55,41,74,63,90,78,90,90,84,"$25,842,697.00 "
T.J. Warren,88,95,81,83,80,90,61,61,75,63,91,70,84,92,50,50,62,68,62,75,68,65,72,60,65,32,54,62,53,52,68,65,62,50,40,48,#N/A
Tobias Harris,93,80,80,81,98,95,75,59,73,79,95,73,82,88,65,70,70,70,84,73,95,65,72,56,80,55,59,58,37,53,67,66,64,60,42,74,"$32,742,000.00 "
Trae Young,92,91,90,85,84,98,84,87,50,78,90,75,86,87,25,30,28,60,34,84,80,92,92,84,96,92,31,55,43,30,70,58,70,30,34,54,"$6,273,000.00 "
Victor Oladipo,64,84,73,76,98,80,81,82,66,88,85,85,83,78,35,85,41,53,40,60,84,75,79,80,80,60,48,86,70,40,90,86,84,85,40,60,"$21,000,000.00 "
Wendell Carter Jr.,66,77,54,74,85,80,68,55,78,68,85,90,81,74,80,61,79,79,82,78,85,56,50,47,70,31,79,47,41,67,50,83,70,70,79,84,#N/A
Zach LaVine,74,70,82,83,98,98,84,84,44,97,98,85,83,88,60,95,44,58,38,87,95,82,86,81,82,70,49,65,59,51,71,64,45,50,35,60,"$19,500,000.00 "
Zion Williamson,75,62,75,64,85,95,86,86,83,99,90,85,80,90,95,97,69,59,70,89,85,65,73,74,69,60,73,64,41,60,76,64,70,45,88,66,"$9,757,440.00 "
