Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound
71,80,78,83,80,70,85,86,55,88,95,80,81,88,25,71,25,40,28,50,88,83,86,85,84,74,59,91,46,56,91,90,82,90,38,60
85,79,84,87,95,98,71,78,42,77,89,80,85,82,65,75,64,76,62,60,80,75,78,70,70,70,61,69,41,57,72,75,68,40,47,68
88,77,82,80,75,95,92,92,42,88,95,80,80,87,25,88,34,37,37,69,85,86,89,92,88,80,39,73,46,45,84,70,68,50,36,50
84,69,68,74,80,75,63,62,94,71,98,70,72,84,95,82,95,94,88,83,95,60,72,60,84,70,70,48,76,83,49,70,68,45,55,88
60,91,82,87,95,98,85,90,50,81,93,90,86,89,25,30,28,60,35,80,88,89,96,85,92,72,32,75,43,56,77,72,77,60,36,52
95,88,83,78,78,80,82,83,64,82,90,95,80,68,80,80,66,65,64,60,85,59,69,65,62,39,78,75,75,72,78,78,72,70,59,78
91,82,74,62,98,98,90,87,70,85,98,95,91,98,85,95,80,74,84,97,95,81,86,86,90,78,86,92,46,70,93,89,88,90,84,94
94,87,83,82,95,85,43,46,87,62,95,80,80,78,70,69,92,92,90,70,92,55,42,38,70,43,74,48,36,81,52,83,70,65,57,70
78,78,80,78,92,95,66,65,73,78,94,85,77,78,90,75,85,85,88,87,89,50,65,56,40,33,74,56,40,88,62,87,60,60,69,89
85,84,78,81,95,95,82,82,60,83,89,75,80,84,40,65,50,73,72,69,80,83,86,82,80,55,51,74,46,56,82,70,76,65,36,66
70,90,75,73,86,65,53,48,91,69,95,85,78,65,80,61,85,85,85,40,84,75,50,33,88,66,90,63,42,65,67,92,70,90,50,68
82,79,83,72,92,90,76,78,44,72,92,85,84,90,25,45,25,60,39,75,76,80,86,76,92,74,32,73,38,40,73,74,70,70,34,48
78,76,78,83,88,80,75,79,27,60,88,73,80,74,25,25,25,40,26,68,86,84,86,75,88,85,32,78,59,37,83,76,70,70,37,58
95,97,80,91,90,85,80,80,62,75,88,75,77,85,25,27,40,55,75,55,90,88,90,80,88,77,61,91,73,35,90,82,95,90,31,65
93,80,80,81,98,95,75,59,73,79,95,73,82,88,65,70,70,70,84,73,95,65,72,56,80,55,59,58,37,53,67,66,64,60,42,74
91,71,60,75,97,90,75,65,82,82,90,76,81,79,90,75,82,75,82,80,82,53,60,55,70,42,78,49,38,81,61,78,69,65,85,89
88,88,84,81,88,95,71,70,40,63,95,80,86,80,25,55,30,45,36,66,85,75,76,65,76,65,38,69,46,37,69,70,72,65,28,46
84,80,35,77,94,90,51,37,90,50,85,75,72,74,75,40,84,78,88,86,80,27,40,25,79,66,79,45,49,81,49,79,60,70,92,88
64,84,73,76,98,80,81,82,66,88,85,85,83,78,35,85,41,53,40,60,84,75,79,80,80,60,48,86,70,40,90,86,84,85,40,60
74,70,82,83,98,98,84,84,44,97,98,85,83,88,60,95,44,58,38,87,95,82,86,81,82,70,49,65,59,51,71,64,45,50,35,60
74,25,25,68,65,40,65,53,94,83,92,95,94,57,97,92,54,40,61,69,90,25,30,33,66,51,85,57,35,78,62,85,60,80,78,97
82,68,26,56,85,70,48,37,81,68,93,97,82,74,85,70,63,62,72,65,79,42,35,33,68,57,90,55,41,74,63,90,78,90,90,84
90,85,82,91,95,98,76,79,42,70,95,70,81,87,30,50,28,38,30,86,85,79,86,76,83,74,38,70,37,40,74,60,62,60,32,53
87,90,84,86,98,99,89,89,74,87,98,97,95,98,35,84,60,84,76,98,98,82,97,89,98,79,62,70,59,62,75,63,82,65,40,64
61,83,76,77,50,30,73,76,60,80,85,90,80,67,60,65,62,68,62,50,68,65,72,66,55,33,80,84,83,95,79,88,75,85,56,72
87,91,82,77,95,95,77,81,69,84,95,95,82,86,40,85,42,44,48,79,92,75,82,76,82,40,58,87,46,42,88,84,83,85,41,67
77,73,79,79,47,30,75,82,70,86,90,90,83,65,25,50,25,58,66,37,80,70,79,74,65,70,59,90,73,55,92,90,85,90,37,49
68,77,79,86,98,95,84,84,67,72,96,97,79,88,25,25,38,44,40,74,95,89,86,84,89,79,58,86,46,51,84,86,70,80,34,53
92,81,72,86,70,75,25,25,83,60,92,80,79,70,80,60,86,80,89,72,80,35,35,25,78,34,84,45,38,95,25,89,69,75,45,59
79,84,82,81,98,98,76,78,70,79,95,95,82,88,90,80,79,74,82,84,84,40,69,69,45,64,86,79,42,65,78,88,82,90,42,72
91,80,80,92,98,98,77,79,54,80,95,85,78,82,30,40,38,46,34,70,84,83,88,77,84,71,35,70,59,45,78,69,58,45,37,52
75,88,80,79,75,70,82,81,40,60,80,85,80,86,40,65,40,48,49,58,88,82,86,82,82,71,43,89,96,47,93,85,88,85,51,76
85,87,80,83,98,98,76,83,56,87,98,78,82,94,30,75,55,55,44,90,81,77,86,76,85,74,45,74,41,47,75,75,65,65,39,52
92,91,90,85,84,98,84,87,50,78,90,75,86,87,25,30,28,60,34,84,80,92,92,84,96,92,31,55,43,30,70,58,70,30,34,54
86,80,40,66,98,98,62,57,94,75,90,98,83,88,95,85,79,76,81,95,82,35,35,32,55,41,80,47,37,73,52,84,64,75,69,64
65,93,75,93,98,90,77,77,56,72,93,95,84,76,40,75,44,45,40,88,84,89,86,77,92,79,65,77,38,40,81,77,74,65,39,61
78,60,78,71,60,65,79,83,49,68,90,86,80,80,25,40,30,72,40,44,81,75,86,79,74,74,34,94,70,61,96,90,87,90,43,51
70,78,72,70,96,95,92,90,60,88,95,95,82,93,25,85,35,57,42,79,90,85,90,92,96,86,38,85,63,62,87,82,92,85,32,50
